id	label	amt_credit	amt_income_total	code_gender	commonarea_avg	days_birth	ext_source_1	ext_source_2	ext_source_3	flag_emp_phone	flag_mobil	flag_own_car	flag_own_realty	name_education_type	name_family_status	name_housing_type	name_income_type	organization_type	own_car_age
100002	1	406597.5	202500	M	0.0143	-9461	0.08303696739132256	0.2629485927471776	0.13937578009978951	1	1	N	Y	Secondary / secondary special	Single / not married	House / apartment	Working	Business Entity Type 3	
100015	0	148365	38419.155	F		-20417	0.7220444501416448	0.5551831615131809	0.6528965519806539	0	1	N	Y	Secondary / secondary special	Married	House / apartment	Pensioner	XNA	
100025	0	1132573.5	202500	F		-14815	0.43770901984754174	0.2337669575081463	0.5424451438613613	1	1	Y	Y	Secondary / secondary special	Married	House / apartment	Commercial associate	Trade: type 7	14
100068	0	247500	81000	M	0.0029	-18248	0.2377197192577024	0.6091352920795285	0.5136937663039473	1	1	N	Y	Secondary / secondary special	Married	House / apartment	Working	Security	
100120	0	781920	135000	F		-9650	0.2543516601822173	0.16995295093717294	0.12140828616312165	1	1	N	N	Higher education	Married	House / apartment	Working	Government	
100226	0	270000	112500	F	0.0034	-13584	0.39416326551627395	0.6365722494978974		1	1	N	N	Secondary / secondary special	Married	House / apartment	Working	Self-employed	
100240	0	590337	135000	M	0.0681	-11978	0.2449031137305613	0.628531689899611	0.12140828616312165	1	1	N	Y	Secondary / secondary special	Married	House / apartment	Working	Housing	
100268	0	225000	85500	F		-10571	0.10104527027628664	0.6466885821859959	0.2250868621163805	1	1	N	N	Secondary / secondary special	Married	House / apartment	Working	Business Entity Type 3	
100290	0	224136	135000	M		-14726	0.40556007759671736	0.2587283392986726	0.23791607950711405	1	1	N	N	Secondary / secondary special	Separated	House / apartment	Working	Business Entity Type 3	
100305	0	237024	135000	M	0.034	-9011	0.15819654874586309	0.4342249243207465		1	1	Y	Y	Incomplete higher	Single / not married	House / apartment	Working	Business Entity Type 3	15
100315	0	288873	121500	F		-10203	0.2648763657921876	0.5922952796456947	0.4956658291397297	1	1	Y	Y	Higher education	Married	House / apartment	Working	Business Entity Type 2	65
100328	0	1270746	171000	F		-15864	0.6161866709636321	0.6923108327651505	0.7352209993926424	1	1	N	N	Secondary / secondary special	Married	House / apartment	State servant	Medicine	
100343	0	90000	315000	M	0.0706	-10935	0.2598232457059673	0.5819802398826008	0.5370699579791587	1	1	Y	Y	Secondary / secondary special	Single / not married	With parents	Working	Business Entity Type 3	2
100368	0	675000	166500	F		-11285	0.3931715974370706	0.6895650848141843	0.4311917977993083	1	1	N	Y	Secondary / secondary special	Married	House / apartment	Working	Business Entity Type 3	
100371	0	808650	450000	F	0	-14768	0.8488032279999198	0.6156753285811992	0.524496446363472	1	1	Y	Y	Higher education	Civil marriage	House / apartment	Commercial associate	Kindergarten	1
100456	0	545040	211500	M		-12360	0.2832919715709532	0.5487262610762287	0.1873887653772306	1	1	Y	Y	Secondary / secondary special	Married	House / apartment	Working	Other	14
100557	0	1320975	225000	F	0.068	-10825	0.610856705453554	0.3488361733767661	0.6313545365850379	1	1	Y	Y	Incomplete higher	Married	House / apartment	Commercial associate	Business Entity Type 3	11
100668	0	364896	144000	F	0.0428	-14731	0.6584070609569178	0.27530455574614976	0.14734591802757252	1	1	N	N	Higher education	Single / not married	House / apartment	Working	Business Entity Type 1	
100758	0	448056	157500	F		-13419	0.5940105561180413	0.4598956038532196	0.28371188263500075	1	1	N	Y	Higher education	Single / not married	House / apartment	Commercial associate	Restaurant	
100845	0	439074	67500	M		-10140	0.2596923692778519	0.15357057289804046	0.17456426555726348	1	1	N	Y	Secondary / secondary special	Separated	House / apartment	Working	Transport: type 4	
100899	0	225000	67500	F		-14164	0.33549152880633304	0.4901955297694898	0.524496446363472	1	1	N	N	Secondary / secondary special	Civil marriage	House / apartment	Working	Trade: type 3	
100906	0	814041	337500	F	0.083	-15113	0.6517763200189777	0.7260923538227417	0.7898803468924867	1	1	N	N	Secondary / secondary special	Married	House / apartment	Working	Business Entity Type 1	
100911	0	270000	360000	M		-8604	0.2750776065758592	0.7314949710461909	0.34090642641523844	1	1	N	N	Higher education	Single / not married	House / apartment	Commercial associate	Bank	
100943	0	189621	135000	F	0.0512	-16228	0.4628592237288837	0.6631336513521565	0.36896873825284665	1	1	N	N	Secondary / secondary special	Single / not married	House / apartment	Commercial associate	Trade: type 3	
101114	0	754740	360000	F		-12409	0.6294814876318789	0.6026029385315065	0.6626377922738201	1	1	Y	Y	Higher education	Single / not married	House / apartment	Commercial associate	Trade: type 3	9
101172	0	382500	180000	M		-13713	0.4776736004758302	0.628873702942854	0.5867400085415683	1	1	Y	Y	Secondary / secondary special	Married	House / apartment	Commercial associate	Industry: type 4	3
101175	0	405000	202500	M		-19723	0.6440331701284322	0.3838574833281188	0.6413682574954046	0	1	Y	Y	Secondary / secondary special	Married	House / apartment	Pensioner	XNA	15
101216	0	518562	135000	F	0.0033	-17964	0.5986641007205076	0.5217027478118521	0.6722428897082422	1	1	Y	Y	Secondary / secondary special	Single / not married	House / apartment	Working	Medicine	5
101254	0	315000	166500	M		-10839	0.24810468314281794	0.17248814407390786	0.4241303111942548	1	1	Y	N	Lower secondary	Married	House / apartment	Commercial associate	Other	21
101304	0	526491	90000	F		-10597	0.4318764866143313	0.3605827703387404	0.38079968264891495	1	1	N	N	Incomplete higher	Married	House / apartment	State servant	Other	
101338	0	176328	121500	F		-8098	0.2713879659421984	0.07415869539944793		1	1	N	Y	Secondary / secondary special	Married	House / apartment	Commercial associate	Trade: type 7	
101452	0	253737	180000	F	0.0132	-10373	0.4323775617341099	0.6610446138939915	0.5762088360175724	1	1	Y	Y	Secondary / secondary special	Single / not married	With parents	Commercial associate	Industry: type 9	16
101485	0	557770.5	180000	F		-11425	0.3719247462489171	0.6083019440819857	0.5656079814115492	1	1	Y	Y	Secondary / secondary special	Married	House / apartment	Working	Self-employed	25
101563	0	495000	112500	M		-14620	0.3572700218265831	0.6640611604570156	0.6212263380626669	1	1	Y	Y	Secondary / secondary special	Married	House / apartment	Working	Government	17
101566	0	1963494	364500	F	0	-14210	0.8235206234054053	0.6853081728220102	0.7583930617144343	1	1	N	Y	Higher education	Single / not married	House / apartment	Commercial associate	Business Entity Type 3	
101600	0	1293502.5	270000	F	0	-12438	0.5510186741813681	0.6907808534934112	0.7194907850918436	1	1	Y	Y	Higher education	Married	House / apartment	State servant	Government	8
101662	0	270000	90000	F		-9090	0.16779854158186508	0.4955410149432618		1	1	N	Y	Secondary / secondary special	Married	House / apartment	Working	Self-employed	
101716	0	314100	225000	F		-14894	0.6098812845698369	0.4501243423022507	0.28812959991785075	1	1	Y	Y	Secondary / secondary special	Married	House / apartment	Working	Self-employed	5
101727	0	135000	67500	F		-7979	0.2372539101130981	0.2701259954536553		1	1	N	Y	Secondary / secondary special	Single / not married	Municipal apartment	Working	Medicine	
101933	0	677664	247500	M		-10451	0.7062930465457431	0.4225308040036448		1	1	N	Y	Secondary / secondary special	Single / not married	House / apartment	Working	Business Entity Type 3	
101981	1	539100	450000	M		-13274	0.2090498374051232	0.711347182362802	0.2405414172860865	1	1	Y	Y	Higher education	Civil marriage	House / apartment	Working	Business Entity Type 3	3
102009	0	755190	202500	F		-12831	0.3981025799250832	0.6788689074410814	0.5334816299804352	1	1	Y	N	Higher education	Married	House / apartment	Working	Self-employed	7
102021	0	1104997.5	157500	F	0.0026	-19229	0.883546475676671	0.510502245071017	0.2764406945454034	1	1	Y	Y	Higher education	Married	House / apartment	Working	Government	12
102110	0	225000	135000	M	0.0175	-16107	0.5103833328598761	0.6803544745742207	0.6092756673894402	1	1	N	Y	Secondary / secondary special	Married	House / apartment	State servant	Self-employed	
102129	0	180000	270000	M		-14491	0.3714107359862552	0.5199345462929504	0.524496446363472	1	1	N	Y	Secondary / secondary special	Married	House / apartment	Working	Trade: type 7	
